14;;;
sortInsert;;;
N;Mrandom;M_10%;M_random5
20;0;0;0
40;0;0;0
80;0;0;0
160;33;0;0
320;0;33;0
640;66;0;0
1280;233;133;0
2560;1233;166;0
5120;4866;666;0
10240;19401;2733;33
20480;77437;10233;66
40960;306550;40568;0
81920;1233603;160709;366
100000;1849205;245946;400
;;;
sortShell;;;
N;Mrandom;M_10%;M_random5
20;0;0;0
40;0;0;0
80;0;0;0
160;33;0;0
320;66;0;0
640;133;0;0
1280;400;0;0
2560;1466;266;0
5120;5633;733;0
10240;23401;3100;33
20480;94238;12200;66
40960;372987;48602;133
81920;1502485;194210;366
100000;2258595;297816;366
;;;
sortShell_531;;;
N;Mrandom;M_10%;M_random5
20;0;0;0
40;0;0;0
80;33;0;0
160;0;0;0
320;0;0;0
640;33;33;0
1280;133;66;33
2560;400;33;0
5120;1366;233;66
10240;5066;866;166
20480;19534;2633;166
40960;78337;9433;366
81920;314317;37268;600
100000;481860;57403;866
;;;
sortShell_A083318;;;
N;Mrandom;M_10%;M_random5
20;0;33;0
40;0;0;0
80;33;0;0
160;0;0;0
320;33;0;33
640;33;33;0
1280;66;33;0
2560;133;166;66
5120;466;233;100
10240;1900;400;166
20480;9300;1633;400
40960;43668;5966;433
81920;188043;21767;1033
100000;290582;32967;1366
;;;
sortShell_A003462;;;
N;Mrandom;M_10%;M_random5
20;0;0;0
40;0;0;0
80;0;0;0
160;33;0;0
320;33;0;0
640;33;33;0
1280;33;66;33
2560;200;133;66
5120;333;300;100
10240;933;566;100
20480;1933;1100;233
40960;5466;2633;533
81920;18501;6000;1133
100000;29734;8500;1366
