MergeSort;;;
N;Mrandom;M_10%;M_random5
20;0;0;0
40;0;0;0
80;0;0;0
160;0;33;0
320;33;0;0
640;33;33;33
1280;66;33;33
2560;166;100;133
5120;466;133;200
10240;766;400;366
20480;1600;833;500
30000;2666;1466;933
;;;
Quicksort;;;
N;Mrandom;M_10%;M_random5
20;0;0;0
40;0;0;0
80;0;0;0
160;33;0;0
320;0;0;0
640;0;33;100
1280;66;66;100
2560;133;100;1166
5120;166;266;3433
10240;633;633;14767
20480;1500;1200;52402
30000;2133;1600;116939
;;;
QuicksortHoare;;;
N;Mrandom;M_10%;M_random5
20;0;0;0
40;0;0;0
80;0;0;0
160;0;0;0
320;0;66;0
640;66;66;33
1280;100;66;0
2560;166;133;33
5120;266;233;33
10240;766;333;166
20480;1366;800;266
30000;1666;1033;500
;;;
QuicksortRand;;;
N;Mrandom;M_10%;M_random5
20;0;0;0
40;0;0;0
80;0;0;0
160;0;0;0
320;0;0;0
640;33;66;33
1280;100;33;66
2560;233;66;66
5120;400;300;200
10240;1133;666;566
20480;1666;1366;1133
30000;2633;1866;1500
;;;
QuicksortInsertsort32;;;
N;Mrandom;M_10%;M_random5
20;0;0;0
40;0;0;0
80;0;0;0
160;0;0;0
320;0;0;0
640;0;0;66
1280;33;66;200
2560;100;133;933
5120;233;133;3366
10240;433;466;15133
20480;966;1000;52102
30000;1600;1433;117406
;;;
QuicksortInsertsort64;;;
N;Mrandom;M_10%;M_random5
20;0;0;0
40;0;0;0
80;0;0;0
160;0;0;0
320;0;0;33
640;0;0;66
1280;33;0;366
2560;100;100;900
5120;200;166;3300
10240;466;466;14767
20480;1000;966;51869
30000;1600;1566;116872
